theta1,omega1,theta2,omega2,next_theta1,next_omega1,next_theta2,next_omega2,rollout
0.06328989796509349,-4.787482783344404,1.1673046702550915,-4.682391169777142,-0.035212258816547715,-4.662673518724289,1.0630253218137709,-5.338004196801663,1
-0.035212258816547715,-4.662673518724289,1.0630253218137709,-5.338004196801663,-0.13060252277681828,-4.497342873135436,0.9451493315629622,-5.976720836473456,1
-0.13060252277681828,-4.497342873135436,0.9451493315629622,-5.976720836473456,-0.2220984813884615,-4.292004664919233,0.814096748313136,-6.59002704513982,1
-0.2220984813884615,-4.292004664919233,0.814096748313136,-6.59002704513982,-0.30895115153131775,-4.048920849975598,0.670505615476751,-7.1700853990503495,1
-0.30895115153131775,-4.048920849975598,0.670505615476751,-7.1700853990503495,-0.39044497949232543,-3.7721015217629725,0.5152319710682534,-7.709735094356935,1
-0.39044497949232543,-3.7721015217629725,0.5152319710682534,-7.709735094356935,-0.4658893071745762,-3.4669282662522845,0.3493271797660191,-8.203271094412116,1
-0.4658893071745762,-3.4669282662522845,0.3493271797660191,-8.203271094412116,-0.5346532654697157,-3.140206050015389,0.17365539707298194,-8.652173825240805,1
-0.5346532654697157,-3.140206050015389,0.17365539707298194,-8.652173825240805,-0.5966382309443418,-2.812310008711601,-0.010704784995759442,-9.04317679587749,1
-0.5966382309443418,-2.812310008711601,-0.010704784995759442,-9.04317679587749,-0.6520783964290204,-2.5032803394404137,-0.2023957403604989,-9.361320952161405,1
-0.6520783964290204,-2.5032803394404137,-0.2023957403604989,-9.361320952161405,-0.7014698739997461,-2.2294910272278234,-0.39986391389254416,-9.594911518086702,1
-0.7014698739997461,-2.2294910272278234,-0.39986391389254416,-9.594911518086702,-0.7455706949779417,-2.0036498450263354,-0.6013598214142131,-9.735517995802448,1
-0.7455706949779417,-2.0036498450263354,-0.6013598214142131,-9.735517995802448,-0.7854008099304589,-1.8347983537149524,-0.8049380496988392,-9.77797416561263,1
-0.7854008099304589,-1.8347983537149524,-0.8049380496988392,-9.77797416561263,-0.8222420886695785,-1.7283119020991833,-1.0084572564707686,-9.720378085976145,1
-0.8222420886695785,-1.7283119020991833,-1.0084572564707686,-9.720378085976145,-0.8576235169403177,-1.6855237536159,-1.2095970133657203,-9.564789993080947,1
